pv_pr,v_wind,power_wt,power_solar,e_ro_hourly,datetime,month,tank_level,water_produced,water_consumed,plants_operating
0,5.6,19197.6131057671,0.0,2400.0,2023-01-09 04:00:00,1,148972.5806451611,1600.0,943.5483870967741,2
0,5.8,21502.229296046964,0.0,2400.0,2023-01-09 05:00:00,1,149629.0322580643,1600.0,943.5483870967741,2
0,4.9,12302.7602662962,0.0,2400.0,2023-01-09 06:00:00,1,150285.48387096752,1600.0,943.5483870967741,2
1,4.6,9760.704613063968,900.0,2400.0,2023-01-09 07:00:00,1,150941.93548387074,1600.0,943.5483870967741,2
167,4.2,6741.219877990008,150300.0,2400.0,2023-01-09 08:00:00,1,151598.38709677395,1600.0,943.5483870967741,2
370,4.1,6056.1041692369745,333000.0,2400.0,2023-01-09 09:00:00,1,152254.83870967716,1600.0,943.5483870967741,2
485,4.6,9760.704613063968,436500.0,2400.0,2023-01-09 10:00:00,1,152911.29032258037,1600.0,943.5483870967741,2
547,4.8,11430.094674068967,492300.0,2400.0,2023-01-09 11:00:00,1,153567.7419354836,1600.0,943.5483870967741,2
458,5.0,13200.0,412200.0,2400.0,2023-01-09 12:00:00,1,154224.1935483868,1600.0,943.5483870967741,2
461,5.4,17061.882267463763,414900.0,2400.0,2023-01-09 13:00:00,1,154880.64516129,1600.0,943.5483870967741,2
440,5.9,22725.4535112083,396000.0,2400.0,2023-01-09 14:00:00,1,155537.09677419323,1600.0,943.5483870967741,2
293,5.8,21502.229296046964,263700.0,2400.0,2023-01-09 15:00:00,1,156193.54838709644,1600.0,943.5483870967741,2
123,5.9,22725.4535112083,110700.0,2400.0,2023-01-09 16:00:00,1,156849.99999999965,1600.0,943.5483870967741,2
7,6.0,24000.0,6300.0,2400.0,2023-01-09 17:00:00,1,157506.45161290286,1600.0,943.5483870967741,2
0,6.8,35980.188141743165,0.0,2400.0,2023-01-09 18:00:00,1,158162.90322580608,1600.0,943.5483870967741,2
0,6.9,37671.825688870624,0.0,2400.0,2023-01-09 19:00:00,1,158819.3548387093,1600.0,943.5483870967741,2
0,7.2,42963.99380356414,0.0,2400.0,2023-01-09 20:00:00,1,159475.8064516125,1600.0,943.5483870967741,2
0,7.5,48612.66557855038,0.0,2400.0,2023-01-09 21:00:00,1,160132.2580645157,1600.0,943.5483870967741,2
0,7.4,46686.10287205432,0.0,2400.0,2023-01-09 22:00:00,1,160788.70967741893,1600.0,943.5483870967741,2
0,7.3,44804.04094011273,0.0,2400.0,2023-01-09 23:00:00,1,161445.16129032214,1600.0,943.5483870967741,2
0,6.1,25328.066815749913,0.0,2400.0,2023-01-10 00:00:00,1,162101.61290322535,1600.0,943.5483870967741,2
0,5.9,22725.4535112083,0.0,2400.0,2023-01-10 01:00:00,1,162758.06451612856,1600.0,943.5483870967741,2
0,5.6,19197.6131057671,0.0,2400.0,2023-01-10 02:00:00,1,163414.51612903178,1600.0,943.5483870967741,2
0,5.4,17061.882267463763,0.0,2400.0,2023-01-10 03:00:00,1,164070.967741935,1600.0,943.5483870967741,2
0,5.5,18110.153840224404,0.0,2400.0,2023-01-10 04:00:00,1,164727.4193548382,1600.0,943.5483870967741,2
0,5.3,16049.764742273072,0.0,2400.0,2023-01-10 05:00:00,1,165383.87096774142,1600.0,943.5483870967741,2
0,5.3,16049.764742273072,0.0,2400.0,2023-01-10 06:00:00,1,166040.32258064463,1600.0,943.5483870967741,2
3,4.8,11430.094674068967,2700.0,2400.0,2023-01-10 07:00:00,1,166696.77419354784,1600.0,943.5483870967741,2
159,4.4,8196.267215024493,143100.0,2400.0,2023-01-10 08:00:00,1,167353.22580645105,1600.0,943.5483870967741,2
